titles,prices,discounts,image_urls,images
"IKall K72 ( Single Sim, 1.4 inches (3.56 cm)  Display, ",Rs.299,57% Off,https://cdn.shopclues.com/images/thumbnails/78609/280/1/133993273-78609595-1519804111.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78609/280/1/133993273-78609595-1519804111.jpg', 'path': 'full/d632dcbb09ba886ba9240f83cfdbd52a0a4ee0ef.jpg', 'checksum': '045ffef057736c6e740863c422b4e4f3'}]"
"IKall K71 (Single Sim, 1.4 Inch Display, 800 Mah batter",Rs.339,52% Off,https://cdn.shopclues.com/images/thumbnails/73671/280/1/130378063-73671867-1515137776.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/73671/280/1/130378063-73671867-1515137776.png', 'path': 'full/46fdaef62920121be3985d90da34ac9f9d181d86.jpg', 'checksum': 'cd24e41c5b1e1d64c75ae221315ff35d'}]"
"IKall K72 (Single Sim, 1.4 Inch Display, Vibration, BIS",Rs.399,43% Off,https://cdn.shopclues.com/images/thumbnails/78610/280/1/133993606-78610269-1519804138.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78610/280/1/133993606-78610269-1519804138.jpg', 'path': 'full/77e0350e139eff126c177c4d86c4c4d98f1eab67.jpg', 'checksum': '17936c38b136f9eb8bc2f76e69095597'}]"
"Combo of IKall K71 (Single Sim, 1.4 Inch Display, 800 M",Rs.399,60% Off,https://cdn.shopclues.com/images1/thumbnails/88980/280/1/139403459-88980869-1529136828.png,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/88980/280/1/139403459-88980869-1529136828.png', 'path': 'full/4d9537602132ec82bb10558e4a086257ce22ef59.jpg', 'checksum': '11da1c05d38853ac2eae482e9e1740c6'}]"
"Combo of IKall K71 (Single Sim, 1.4 Inch Display, 800 M",Rs.399,60% Off,https://cdn.shopclues.com/images1/thumbnails/88980/280/1/139403475-88980908-1529137193.png,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/88980/280/1/139403475-88980908-1529137193.png', 'path': 'full/9bc76a992e0d551f13780504f5006b92433f247b.jpg', 'checksum': '11da1c05d38853ac2eae482e9e1740c6'}]"
"IKall K12 New (Dual Sim, 1.8 Inch Display, BIS Certifie",Rs.419,48% Off,https://cdn.shopclues.com/images/thumbnails/78711/280/1/134064609-78711519-1517903354.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/78711/280/1/134064609-78711519-1517903354.jpg', 'path': 'full/81836eef2a8780116708725d3d87a9d1f92e49a0.jpg', 'checksum': 'eacffb69b126b3e37f100df48e75d909'}]"
"Combo of IKall K71 (Single Sim, 1.4 Inch Display, 800 M",Rs.449,65% Off,https://cdn.shopclues.com/images/thumbnails/88153/280/1/130888153k71redwallet1511518246.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/88153/280/1/130888153k71redwallet1511518246.png', 'path': 'full/a4acc91f0afe677220a672636c69bb60799b31d7.jpg', 'checksum': '11da1c05d38853ac2eae482e9e1740c6'}]"
I Kall k72 New mobile with 2000mAh power Bank with Manu,Rs.449,55% Off,https://cdn.shopclues.com/images1/thumbnails/88946/280/1/139389876-88946181-1528962949.jpg,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/88946/280/1/139389876-88946181-1528962949.jpg', 'path': 'full/e42187f4b14f69a2593507787d2b51401f6f8bfa.jpg', 'checksum': '8dcc0a4f60817df4fe239d3550a546d4'}]"
"Combo of IKall K71 (Single Sim, 1.4 Inch Display, 800 M",Rs.459,62% Off,https://cdn.shopclues.com/images/thumbnails/74927/280/1/131097809-74927422-1515147371.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/74927/280/1/131097809-74927422-1515147371.jpg', 'path': 'full/316c7d2490403ae182abc6576ace1fe23788391d.jpg', 'checksum': 'b46f1fdb63c7b0871e7e99f89432442c'}]"
"IKall K20 (1.8 Inch,Dual Sim, BIS Certified, Made in In",Rs.479,40% Off,https://cdn.shopclues.com/images/thumbnails/48713/280/1/K20Red1480926347.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/48713/280/1/K20Red1480926347.png', 'path': 'full/7b652778040c9fb9b3e7c6e10808837f569f8c35.jpg', 'checksum': 'a4018c30d1f6201b9a7091abfc15eac9'}]"
"IKall K19 (Dual Sim, 1.8 Inch, 800 Mah Battery, Wireles",Rs.479,40% Off,https://cdn.shopclues.com/images/thumbnails/86833/280/1/12107542851oO1Ify7KL1508933956.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/86833/280/1/12107542851oO1Ify7KL1508933956.jpg', 'path': 'full/f55f4a23263126b116240975a225a30f2315fc74.jpg', 'checksum': '9fa763e0c28f7c9030eb2fff5cce5cbc'}]"
IKall K20  1.8 InchDual Sim With FM  Bluetooth Made in ,Rs.479,20% Off,https://cdn.shopclues.com/images/thumbnails/81987/280/1/123262654K20bl1504251058.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/81987/280/1/123262654K20bl1504251058.jpg', 'path': 'full/9307ecff013308804919cee53614f5560252670f.jpg', 'checksum': 'ba5cc1dab89be97d3b3efd5a4915ca9c'}]"
IKall K66 Blackblue  1.8 InchDual Sim (No Earphones) Ma,Rs.479,40% Off,https://cdn.shopclues.com/images1/thumbnails/91266/280/1/140332099-91266989-1534494547.png,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/91266/280/1/140332099-91266989-1534494547.png', 'path': 'full/f112ce1da2237c3f309c47b5ad42b498d317ae7c.jpg', 'checksum': 'a1bc2039cc5f243dac6a4de0c2c9de32'}]"
IKall K88 Blackblue  1.8 InchDual Sim (No Earphones) Ma,Rs.479,20% Off,https://cdn.shopclues.com/images/thumbnails/32198/280/1/k88blueblack14547431661455606256.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/32198/280/1/k88blueblack14547431661455606256.png', 'path': 'full/93ee747b67d39b2ad70c9ffd513767b9d9271084.jpg', 'checksum': '821d6a70954f8ee3393cdaad6b06163f'}]"
IKall K99 BlackBlue  1.8 InchDual Sim (No Earphones) Ma,Rs.479,20% Off,https://cdn.shopclues.com/images/thumbnails/32200/280/1/k99blue1455608579.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/32200/280/1/k99blue1455608579.png', 'path': 'full/24e0b4722e720f0b10dbab9dbf788a6256561bbf.jpg', 'checksum': '88338b4d16304cbf456f050b70ca197d'}]"
IKall K25  1.8 InchDual Sim  Made in India,Rs.489,18% Off,https://cdn.shopclues.com/images/thumbnails/81988/280/1/123262721K25Red1504251574.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/81988/280/1/123262721K25Red1504251574.jpg', 'path': 'full/c99b6c2a3777246b9261c99fdb5c76b26d296f91.jpg', 'checksum': '27ce57fa621b03b63b103738c5a092f7'}]"
"IKall K31 (Dual Sim, 1.8 Inch Display, 800 Mah Battery,",Rs.489,39% Off,https://cdn.shopclues.com/images/thumbnails/82309/280/1/126816211k31blackfront1504515043.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/82309/280/1/126816211k31blackfront1504515043.png', 'path': 'full/db8858f3e9c8ea8f323ff658d8c5446626f5d25e.jpg', 'checksum': '16cc8e011353885bdd43aeae13f87701'}]"
"IKall K6610 (Dual Sim, 1.8 Inch Display, 800 Mah Batter",Rs.489,39% Off,https://cdn.shopclues.com/images/thumbnails/83841/280/1/127920854k6610blue1505377528.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/83841/280/1/127920854k6610blue1505377528.png', 'path': 'full/80ea41b8b3e8a852d2fb366d62bb993adfd4e482.jpg', 'checksum': '8d313103faf2b75901be4ec78474b566'}]"
"IKall K5310 (Dual Sim, 1.8 Inch Display, 1000 Mah Batte",Rs.489,39% Off,https://cdn.shopclues.com/images1/thumbnails/70435/280/1/127928635-70435642-1542434055.jpg,"[{'url': 'https://cdn.shopclues.com/images1/thumbnails/70435/280/1/127928635-70435642-1542434055.jpg', 'path': 'full/e26d43d6b365502f455a5875304bb5fc25d9aca0.jpg', 'checksum': 'c6fea5b14eb478b97ba0ad796ffc0021'}]"
IKall K88 BlackBlue  1.8 InchDual Sim (No Earphones) Ma,Rs.489,18% Off,https://cdn.shopclues.com/images/thumbnails/31312/280/1/k88blueblack1454743166.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/31312/280/1/k88blueblack1454743166.png', 'path': 'full/683d9a6a7abc3cd23bac6cb8aa84337043b74872.jpg', 'checksum': '7485dc8ff0c9bf26a4d3d16f9a5a2c95'}]"
"IKall K55 (Dual Sim, 1.8 Inch Display, FM, Bluetooth, R",Rs.489,18% Off,https://cdn.shopclues.com/images/thumbnails/31321/280/1/k55red1454750795.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/31321/280/1/k55red1454750795.jpg', 'path': 'full/724bc5a7cc75d366633d66686a13870865181eca.jpg', 'checksum': '3db4f420147a04ae93840e3715e51993'}]"
IKall K12   1.8 InchDual Sim 1000Mah Battery Made In In,Rs.489,39% Off,https://cdn.shopclues.com/images/thumbnails/40210/280/1/4th1470312741.jpg,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/40210/280/1/4th1470312741.jpg', 'path': 'full/efeb962d00f92f0bd9aa201c1aa8ac89cf40c334.jpg', 'checksum': 'f55f08881e6d9af87d3fe4497f17ca9b'}]"
"IKall K20 (Dual Sim, 1.8 Inch Display, 800 Mah Battery,",Rs.499,38% Off,https://cdn.shopclues.com/images/thumbnails/48720/280/1/K20Red1480932054.png,"[{'url': 'https://cdn.shopclues.com/images/thumbnails/48720/280/1/K20Red1480932054.png', 'path': 'full/2ee62d18c174fb6ada920c5ed31de8068519535b.jpg', 'checksum': '685e551eea33ecb672e4ba0ff3560e5f'}]"
